Turkish,English
parça,part
hikaye,history
aramak,search
sadece,only
polis,police
düşünüyordum,thought
yardım,help
talep,request
tür,kind
ay,month
erkek kardeş,brother
bırakmak,let
çünkü,because
koymak,to put
hiçbir,no
tasma,leash
onlar,them
şehir,city
her,each
konuştu,speak
geldi,come
gerekirdi,should
bebek,baby
uzun zaman,long time
saatler,hours
gidecekler,will
esnasında,while
tekrar görüşmek,meet again
hiçbir,any
meydan,square
konuşuyor,speak
anladım,understood
biliyordum,knew
idiler,were
dikkat,Warning
işte,here is
yapabilir miyim,could
dava,case
vermek,give
tip,type
onların,their
verilmiş,given
tren,train
vücut,body
yer,place
gözler,eyes
yol,way
dinle,listen
ki onun,whose
bulur,find
birinci,first
kaybetti,lost
el,hand
ilk,first
taraf,side
güç,power
yaşlı,old
ol,be
al,here
sabah,morning
o kadar,so much
çocuk,child
nokta,point
geldi,came
devam,after
özür dilerim,sorry
gelin,come
önünde,in front of
doğru,towards
dakikalar,minutes
talep edildi,request
yatak odası,bedroom
koydu,placed
güzel,beautiful
hukuk,law
isterim,would like to
bugün,today
koca,husband
sebep,cause
sonunda,finally
umarım,hope
su,water
bekleyin,Wait
gitti,left
yeni,new
iş,job
durdurmak,Stop
derdi,would say
dünya,Earth
hesap,account
verilmiş,given
uzak,far
son,end
inanmak,believe
tatlım,sweetheart
büyük,large
daha ziyade,rather
olacak,will have
kızlar,girls
oynamak,to play
ofis,office
